Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7
0,0.1316003253790059,0,0.795439949691837,0,0.7375106023909506,0
0,0.16691259939124103,0,0.8767073704368171,0,0.4222538055866656,0
0,0.6073613274119911,0,0.11545943231998823,0,0.7687514136742948,0
0,0.8140499634457954,0,0.08247792800145914,0,0.395708873965517,0
0,0.8614813894279802,0,0.13767702643548296,0,0.7525730426934398,0
0,0.7413374624999707,0,0.6784442443428274,0,0.5850725796218941,0
0,0.894737942792311,0,0.5526388872883605,0,0.5555953859866176,0
0,0.7761366097004172,0,0.8659318187966185,0,0.35747185378225477,0
0,0.6339055469308255,0,0.02750611249618351,0,0.8494097572979193,0
0,0.5381542852780727,0,0.5519271930636589,0,0.6941282401039792,0
0,0.6519762995277438,0,0.2298052522838212,0,0.4978051051785337,0
0,0.05670264881440623,0,0.2362928751567721,0,0.17242802626702236,0
0,0.6556526084921181,0,0.6679420624912122,0,0.7857141215391727,0
0,0.3546881941550053,0,0.21872647296990033,0,0.6382248170269249,0
0,0.028395960035549894,0,0.00888986695724725,0,0.5995545212336455,0
0,0.26823495308368095,0,0.3084171503495541,0,0.061444404487145166,0
0,0.7349392163640007,0,0.9374236298691347,0,0.2525023312733814,0
0,0.5258863167713019,0,0.8871154957921668,0,0.6721913561613448,0
0,0.3125268365536036,0,0.9224925116823184,0,0.9732669913244274,0
0,0.38501244390562994,0,0.5756673854313568,0,0.9015194284863672,0
0,0.8642266582078661,0,0.7016732135467239,0,0.13391534091601698,0
0,0.9442762585036042,0,0.6012039529682129,0,0.020387581281713807,0
0,0.370241136335264,0,0.2589254499050391,0,0.5346501564457979,0
0,0.861983190401008,0,0.27538419610122244,0,0.7101088981662909,0
0,0.6182982241709092,0,0.33673840654422516,0,0.04326793711386423,0
0,0.5450416610693782,0,0.6955442664242506,0,0.5534892921451464,0
0,0.7760198084132313,0,0.22929626035931783,0,0.7685841586708433,0
0,0.8375462480395852,0,0.0340786101622359,0,0.7680807236766982,0
0,0.33078570324807566,0,0.036927294675408895,0,0.19863551064126872,0
0,0.5734510018381043,0,0.3838410090381652,0,0.34999879127864975,0
0,0.7098340459293708,0,0.26657970625238026,0,0.03198909467239308,0
0,0.0040526748766767096,0,0.4125836345609115,0,0.9177894007344138,0
0,0.10695834087338674,0,0.3454193668308083,0,0.8334428771929285,0
0,0.21269437449974493,0,0.5153216574177506,0,0.6802785525685195,0
0,0.7545620113966001,0,0.5059918083804824,0,0.15447895562393454,0
0,0.743960272737682,0,0.9737381193434296,0,0.8245117671865128,0
0,0.19663688288120373,0,0.3935925390250419,0,0.028429665522150538,0
0,0.17060628913483078,0,0.5182364770457972,0,0.48979459069327724,0
0,0.6723263663404895,0,0.5268078258417375,0,0.9673231678955074,0
0,0.39057362941463003,0,0.7901220759884287,0,0.1513723803106004,0
0,0.4257214667618776,0,0.21240180562666833,0,0.4174773918857877,0
0,0.21929256834046407,0,0.02079324036980834,0,0.36497120565016483,0
0,0.06674018928921255,0,0.3131024969561076,0,0.2085625474990478,0
0,0.13832262445436738,0,0.1442656754003695,0,0.5115929271274109,0
0,0.40483006915743935,0,0.3091992933530989,0,0.08711674752705512,0
0,0.9089457624838884,0,0.24147781877560592,0,0.9828760842728457,0
0,0.41776724753084404,0,0.05358297976063797,0,0.9501293397020796,0
0,0.8188010673343142,0,0.759359464402563,0,0.16695692821697694,0
0,0.26479550221306525,0,0.012090494122243056,0,0.8055202434321482,0
0,0.14546345550433215,0,0.21918402011124893,0,0.2858907375799209,0
0,0.5153050361103368,0,0.7406124431936896,0,0.6816889722557933,0
0,0.351877723382678,0,0.7246922613459748,0,0.916331891445324,0
0,0.39672460715203295,0,0.7158737445002117,0,0.8367263101970746,0
0,0.7561521087248884,0,0.7507334759293869,0,0.6698087057369218,0
0,0.16005435758032105,0,0.9609739135555979,0,0.43408390221020654,0
0,0.986230301371789,0,0.4958207522138016,0,0.7262479343856838,0
0,0.1466410022973843,0,0.8476478180930158,0,0.2552159708586339,0
0,0.8170779633821244,0,0.12332840131886735,0,0.500709570275955,0
0,0.9546683336840867,0,0.865610559389502,0,0.5419073865194124,0
0,0.7905619876705188,0,0.10202471668593605,0,0.32221824023965473,0
0,0.29181563986439274,0,0.22802259148596127,0,0.26726224483111816,0
0,0.4444083049611238,0,0.575455147305433,0,0.41365367706928535,0
0,0.13692460661913697,0,0.565795642439457,0,0.280402654815874,0
0,0.15023659980579485,0,0.7723505068668399,0,0.06282722383938188,0
0,0.8459004224882163,0,0.4450353055511793,0,0.8506315279002132,0
0,0.1068527342100567,0,0.7782529618775182,0,0.6057331894701283,0
0,0.12256696973486347,0,0.32330284579509505,0,0.15774660080438085,0
0,0.9589801504597029,0,0.04795477602420384,0,0.44577402395811694,0
0,0.211011681873281,0,0.6126345213549214,0,0.016258202013739176,0
0,0.7525188142203385,0,0.7807900921576703,0,0.20334341530290523,0
0,0.005113118620801549,0,0.132786283617101,0,0.29083006585023896,0
0,0.6458945045396596,0,0.5739825357931212,0,0.651515193924721,0
0,0.6550927849257617,0,0.2295115272224768,0,0.7149300772881282,0
0,0.33413992463939723,0,0.03791545854479761,0,0.2447228890830837,0
0,0.6773623947328788,0,0.7416167473918902,0,0.8743288290735087,0
0,0.10373669513653283,0,0.14821587534132163,0,0.21778715064281018,0
0,0.9789259325106419,0,0.936018125511517,0,0.004934797193321572,0
0,0.5681182740623851,0,0.9624330281823186,0,0.5366209663006767,0
0,0.35866512587514077,0,0.5366450611625988,0,0.7590238224210408,0
0,0.5041684854076798,0,0.8898605856003012,0,0.08093386441201322,0
0,0.647188702066392,0,0.7749723752257438,0,0.4153389975420476,0
0,0.035743194197718875,0,0.3121128289845865,0,0.8939348021960791,0
0,0.7858579615492578,0,0.9517032943400703,0,0.22751379045332953,0
0,0.16722117519372204,0,0.19217826508209113,0,0.9615706120765257,0
0,0.18494438019665416,0,0.5781555536442662,0,0.49684867468686833,0
0,0.010920752758005747,0,0.7843353399962878,0,0.08829842349834527,0
0,0.5843862648083828,0,0.4386163890767947,0,0.16267380698980172,0
0,0.14300447584179543,0,0.3706541451906227,0,0.5489343362824612,0
0,0.19980000018355493,0,0.7766256897890358,0,0.0944754992835195,0
0,0.7551866917292387,0,0.7488443137996201,0,0.7379764029966662,0
0,0.669035513007995,0,0.5559337856107767,0,0.10993888657073625,0
0,0.22541769396395606,0,0.9721748667951455,0,0.35475916951979003,0
0,0.39535782068462333,0,0.9477649690960759,0,0.9586326344836715,0
0,0.3701962647271997,0,0.753716280389237,0,0.6373164938154416,0
0,0.9778964042270271,0,0.28662575039224625,0,0.6141212200753952,0
0,0.6345673157559915,0,0.8532088870123782,0,0.0036199656131394864,0
0,0.7406634572447124,0,0.6586510045092844,0,0.40320938184223576,0
0,0.3869630902582084,0,0.6335510788937666,0,0.03772709170970656,0
0,0.08787354729185215,0,0.6301250153215567,0,0.31635009115635504,0
0,0.24697289547915968,0,0.32648804612338544,0,0.028003013457748693,0